id,name,policy,status,before_nodes,before_n_nodes,before_inputs,before_internal_nodes,before_nonconstant_rules,before_constant_rules,before_vacuous,before_out_uniform,before_out_uniform_nonvacuous,before_locally_unate,before_MIN,before_MAX,before_MIN_MAX,before_is_conjunctive,before_is_disjunctive,before_is_AND_NOT,before_is_OR_NOT,before_is_AND_OR_NOT,before_is_AND_OR,before_is_AND_OR_NAND_NOR,before_AND_OR_NOT_out_uniform,before_AND_OR_NAND_NOR,before_AND_OR_NAND_NOR_out_uniform,before_homogeneous_MIN,before_homogeneous_MAX,before_signed_operator_homogeneous_AND,before_signed_operator_homogeneous_OR,before_homogeneous_gate,before_positive_AND,before_positive_OR,before_affine,before_reciprocal_support,before_all_internal_self_regulated,before_all_self_loop,before_self_loop_count,before_is_monotone,before_switchable_to_monotone,before_positive_edges,before_negative_edges,before_non_unate_edges,before_has_multi_input_rule,before_edges,before_max_indegree,after_nodes,after_n_nodes,after_inputs,after_internal_nodes,after_nonconstant_rules,after_constant_rules,after_vacuous,after_out_uniform,after_out_uniform_nonvacuous,after_locally_unate,after_MIN,after_MAX,after_MIN_MAX,after_is_conjunctive,after_is_disjunctive,after_is_AND_NOT,after_is_OR_NOT,after_is_AND_OR_NOT,after_is_AND_OR,after_is_AND_OR_NAND_NOR,after_AND_OR_NOT_out_uniform,after_AND_OR_NAND_NOR,after_AND_OR_NAND_NOR_out_uniform,after_homogeneous_MIN,after_homogeneous_MAX,after_signed_operator_homogeneous_AND,after_signed_operator_homogeneous_OR,after_homogeneous_gate,after_positive_AND,after_positive_OR,after_affine,after_reciprocal_support,after_all_internal_self_regulated,after_all_self_loop,after_self_loop_count,after_is_monotone,after_switchable_to_monotone,after_positive_edges,after_negative_edges,after_non_unate_edges,after_has_multi_input_rule,after_edges,after_max_indegree,bijection_verified,fixed_points_exact,fixed_points_count_or_lower_bound,all_rules_out_uniform,after_signed_operator_homogeneous,before_signed_operator_homogeneous
001,SIGNALING-IN-MACROPHAGE-ACTIVATION,first,complete,321,321,19,302,302,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,513,4,0,True,517,10,21,21,19,2,2,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,False,False,8,2,0,True,10,6,True,False,257,False,,
001,SIGNALING-IN-MACROPHAGE-ACTIVATION,min_degree,complete,321,321,19,302,302,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,513,4,0,True,517,10,21,21,19,2,2,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,False,False,8,2,0,True,10,6,True,False,257,False,,
001,SIGNALING-IN-MACROPHAGE-ACTIVATION,min_growth,complete,321,321,19,302,302,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,513,4,0,True,517,10,21,21,19,2,2,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,False,False,8,2,0,True,10,6,True,False,257,False,,
001,SIGNALING-IN-MACROPHAGE-ACTIVATION,random,complete,321,321,19,302,302,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,513,4,0,True,517,10,21,21,19,2,2,0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2,False,False,9,1,0,True,10,6,True,False,257,True,,
002,SIGNAL-TRANSDUCTION-IN-FIBROBLASTS,first,complete,139,139,9,130,130,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50,False,False,381,116,45,True,542,13,63,63,9,54,54,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,54,False,False,362,148,79,True,589,31,True,False,257,False,,
002,SIGNAL-TRANSDUCTION-IN-FIBROBLASTS,min_degree,complete,139,139,9,130,130,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50,False,False,381,116,45,True,542,13,60,60,9,51,51,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,51,False,False,329,138,82,True,549,28,True,False,257,False,,
002,SIGNAL-TRANSDUCTION-IN-FIBROBLASTS,min_growth,complete,139,139,9,130,130,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50,False,False,381,116,45,True,542,13,60,60,9,51,51,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,51,False,False,329,138,82,True,549,28,True,False,257,False,,
002,SIGNAL-TRANSDUCTION-IN-FIBROBLASTS,random,complete,139,139,9,130,130,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50,False,False,381,116,45,True,542,13,60,60,9,51,51,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,51,False,False,332,152,90,True,574,28,True,False,257,False,,
003,MAMMALIAN-CELL-CYCLE,first,complete,20,20,1,19,19,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,38,12,0,True,50,5,2,2,1,1,1,0,False,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,1,False,True,1,1,0,True,2,2,True,True,3,False,AND,
003,MAMMALIAN-CELL-CYCLE,min_degree,complete,20,20,1,19,19,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,38,12,0,True,50,5,3,3,1,2,2,0,False,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,False,True,True,2,True,True,6,0,0,True,6,3,True,True,3,True,OR,
003,MAMMALIAN-CELL-CYCLE,min_growth,complete,20,20,1,19,19,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,38,12,0,True,50,5,2,2,1,1,1,0,False,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,1,False,True,1,1,0,True,2,2,True,True,3,False,AND,
003,MAMMALIAN-CELL-CYCLE,random,complete,20,20,1,19,19,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,38,12,0,True,50,5,2,2,1,1,1,0,False,True,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,1,False,True,1,1,0,True,2,2,True,True,3,False,AND,
004,ERBB-RECEPTOR-SIGNALING,first,complete,247,247,22,225,225,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70,False,False,825,215,48,True,1088,27,99,99,22,77,77,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,77,False,False,601,366,272,True,1239,48,True,False,257,False,,
004,ERBB-RECEPTOR-SIGNALING,min_degree,complete,247,247,22,225,225,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70,False,False,825,215,48,True,1088,27,96,96,22,74,74,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,74,False,False,590,306,231,True,1127,42,True,False,257,False,,
004,ERBB-RECEPTOR-SIGNALING,min_growth,complete,247,247,22,225,225,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70,False,False,825,215,48,True,1088,27,96,96,22,74,74,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,74,False,False,542,314,192,True,1048,43,True,False,257,False,,
004,ERBB-RECEPTOR-SIGNALING,random,complete,247,247,22,225,225,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,70,False,False,825,215,48,True,1088,27,99,99,22,77,77,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,77,False,False,680,303,254,True,1237,45,True,False,257,False,,
005,FA-BRCA-PATHWAY,first,complete,28,28,0,28,28,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,False,79,43,0,True,122,9,7,7,0,7,7,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,7,False,False,15,11,5,True,31,6,True,True,0,False,,
005,FA-BRCA-PATHWAY,min_degree,complete,28,28,0,28,28,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,False,79,43,0,True,122,9,7,7,0,7,7,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,7,False,False,15,11,5,True,31,6,True,True,0,False,,
