model_id,name,policy,seed,reduction_fraction,internal_reduction_fraction,fixed_points_before,fixed_points_after,bijection_verified,reduction_seconds,fp_before_seconds,fp_after_seconds,before_nodes,before_internal_nodes,before_inputs,before_edges,before_edges_without_input_identity,before_self_loops,before_scc,before_weak_components,before_max_indegree,before_table_entries,before_canonical_dnf_literals,before_function_classes,before_network_class,after_nodes,after_internal_nodes,after_inputs,after_edges,after_edges_without_input_identity,after_self_loops,after_scc,after_weak_components,after_max_indegree,after_table_entries,after_canonical_dnf_literals,after_function_classes,after_network_class
007,CORTICAL-AREA-DEVELOPMENT,first,42,0.8,0.8,2,2,True,0.00020250002853572369,8.240004535764456e-05,6.199989002197981e-06,5,5,0,14,14,1,1,1,4,40,14,"{""NOR"": 1, ""SIGNED_AND"": 4}",MIXED_OR_OTHER,1,1,0,1,1,1,1,1,1,2,1,"{""COPY"": 1}",COPY_ONLY
007,CORTICAL-AREA-DEVELOPMENT,min_degree,42,0.8,0.8,2,2,True,0.00036589999217540026,8.240004535764456e-05,1.1199968867003918e-05,5,5,0,14,14,1,1,1,4,40,14,"{""NOR"": 1, ""SIGNED_AND"": 4}",MIXED_OR_OTHER,1,1,0,1,1,1,1,1,1,2,1,"{""COPY"": 1}",COPY_ONLY
007,CORTICAL-AREA-DEVELOPMENT,min_growth,42,0.8,0.8,2,2,True,0.0007034000009298325,8.240004535764456e-05,7.499998901039362e-06,5,5,0,14,14,1,1,1,4,40,14,"{""NOR"": 1, ""SIGNED_AND"": 4}",MIXED_OR_OTHER,1,1,0,1,1,1,1,1,1,2,1,"{""COPY"": 1}",COPY_ONLY
007,CORTICAL-AREA-DEVELOPMENT,random,42,0.8,0.8,2,2,True,0.0003527000080794096,8.240004535764456e-05,7.499998901039362e-06,5,5,0,14,14,1,1,1,4,40,14,"{""NOR"": 1, ""SIGNED_AND"": 4}",MIXED_OR_OTHER,1,1,0,1,1,1,1,1,1,2,1,"{""COPY"": 1}",COPY_ONLY
064,METABOLIC-INTERACTIONS-IN-GUT-MICROBIOME,first,42,0.33333333333333337,0.5,40,40,True,0.00038020004285499454,0.012516800023149699,0.0008154999813996255,12,8,4,31,27,9,9,1,5,118,295,"{""COPY"": 1, ""GENERAL"": 4, ""OR"": 1, ""SIGNED_AND"": 1, ""SIGNED_OR"": 1}",MIXED_OR_OTHER,8,4,4,21,17,8,6,4,5,88,133,"{""GENERAL"": 4}",MIXED_OR_OTHER
064,METABOLIC-INTERACTIONS-IN-GUT-MICROBIOME,min_degree,42,0.33333333333333337,0.5,40,40,True,0.0006282000103965402,0.012516800023149699,0.001427499984856695,12,8,4,31,27,9,9,1,5,118,295,"{""COPY"": 1, ""GENERAL"": 4, ""OR"": 1, ""SIGNED_AND"": 1, ""SIGNED_OR"": 1}",MIXED_OR_OTHER,8,4,4,21,17,8,6,4,5,88,133,"{""GENERAL"": 4}",MIXED_OR_OTHER
064,METABOLIC-INTERACTIONS-IN-GUT-MICROBIOME,min_growth,42,0.33333333333333337,0.5,40,40,True,0.0014825999969616532,0.012516800023149699,0.0014742999919690192,12,8,4,31,27,9,9,1,5,118,295,"{""COPY"": 1, ""GENERAL"": 4, ""OR"": 1, ""SIGNED_AND"": 1, ""SIGNED_OR"": 1}",MIXED_OR_OTHER,8,4,4,21,17,8,6,4,5,88,133,"{""GENERAL"": 4}",MIXED_OR_OTHER
064,METABOLIC-INTERACTIONS-IN-GUT-MICROBIOME,random,42,0.33333333333333337,0.5,40,40,True,0.0005918000242672861,0.012516800023149699,0.001512999995611608,12,8,4,31,27,9,9,1,5,118,295,"{""COPY"": 1, ""GENERAL"": 4, ""OR"": 1, ""SIGNED_AND"": 1, ""SIGNED_OR"": 1}",MIXED_OR_OTHER,8,4,4,21,17,8,6,4,5,88,133,"{""GENERAL"": 4}",MIXED_OR_OTHER
023,MAMMALIAN-CELL-CYCLE-2006,first,42,0.4,0.4444444444444444,1,1,True,0.000980100012384355,0.002493700012564659,0.00016070000128820539,10,9,1,35,34,4,2,1,6,204,276,"{""COPY"": 1, ""GENERAL"": 6, ""NOR"": 1, ""SIGNED_AND"": 1}",MIXED_OR_OTHER,6,5,1,23,22,6,2,1,5,122,102,"{""GENERAL"": 4, ""SIGNED_AND"": 1}",MIXED_OR_OTHER
023,MAMMALIAN-CELL-CYCLE-2006,min_degree,42,0.4,0.4444444444444444,1,1,True,0.0018577000009827316,0.002493700012564659,0.0002631000243127346,10,9,1,35,34,4,2,1,6,204,276,"{""COPY"": 1, ""GENERAL"": 6, ""NOR"": 1, ""SIGNED_AND"": 1}",MIXED_OR_OTHER,6,5,1,23,22,6,2,1,5,122,102,"{""GENERAL"": 4, ""SIGNED_AND"": 1}",MIXED_OR_OTHER
